TACC:  Starting up job 11435098 
TACC:  Starting parallel tasks... 
Running problem size 40^3 per domain until completion
Num processors: 512
Num threads: 32
Total number of elements: 32768000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

cycle = 1, time = 1.043090e-08, dt=1.043090e-08
cycle = 2, time = 2.294798e-08, dt=1.251708e-08
cycle = 3, time = 2.723836e-08, dt=4.290377e-09
cycle = 4, time = 3.082115e-08, dt=3.582798e-09
cycle = 5, time = 3.401508e-08, dt=3.193927e-09
cycle = 6, time = 3.698079e-08, dt=2.965706e-09
cycle = 7, time = 3.980041e-08, dt=2.819622e-09
cycle = 8, time = 4.252386e-08, dt=2.723449e-09
cycle = 9, time = 4.518493e-08, dt=2.661071e-09
cycle = 10, time = 4.780847e-08, dt=2.623545e-09
cycle = 11, time = 5.095673e-08, dt=3.148254e-09
cycle = 12, time = 5.451127e-08, dt=3.554541e-09
cycle = 13, time = 5.787145e-08, dt=3.360183e-09
cycle = 14, time = 6.103808e-08, dt=3.166624e-09
cycle = 15, time = 6.401095e-08, dt=2.972877e-09
cycle = 16, time = 6.684913e-08, dt=2.838174e-09
cycle = 17, time = 6.960272e-08, dt=2.753591e-09
cycle = 18, time = 7.231477e-08, dt=2.712049e-09
cycle = 19, time = 7.502639e-08, dt=2.711622e-09
cycle = 20, time = 7.773801e-08, dt=2.711622e-09
cycle = 21, time = 8.044963e-08, dt=2.711622e-09
cycle = 22, time = 8.316125e-08, dt=2.711622e-09
cycle = 23, time = 8.587288e-08, dt=2.711622e-09
cycle = 24, time = 8.887423e-08, dt=3.001349e-09
cycle = 25, time = 9.187558e-08, dt=3.001349e-09
cycle = 26, time = 9.487692e-08, dt=3.001349e-09
cycle = 27, time = 9.829794e-08, dt=3.421014e-09
cycle = 28, time = 1.017190e-07, dt=3.421014e-09
cycle = 29, time = 1.058043e-07, dt=4.085324e-09
cycle = 30, time = 1.104402e-07, dt=4.635926e-09
cycle = 31, time = 1.148907e-07, dt=4.450484e-09
cycle = 32, time = 1.191909e-07, dt=4.300177e-09
cycle = 33, time = 1.233878e-07, dt=4.196911e-09
cycle = 34, time = 1.275177e-07, dt=4.129925e-09
cycle = 35, time = 1.316174e-07, dt=4.099718e-09
cycle = 36, time = 1.357171e-07, dt=4.099718e-09
cycle = 37, time = 1.398169e-07, dt=4.099718e-09
cycle = 38, time = 1.439166e-07, dt=4.099718e-09
cycle = 39, time = 1.480163e-07, dt=4.099718e-09
cycle = 40, time = 1.526103e-07, dt=4.594044e-09
cycle = 41, time = 1.572044e-07, dt=4.594044e-09
cycle = 42, time = 1.617984e-07, dt=4.594044e-09
cycle = 43, time = 1.663925e-07, dt=4.594044e-09
cycle = 44, time = 1.709865e-07, dt=4.594044e-09
cycle = 45, time = 1.755438e-07, dt=4.557304e-09
cycle = 46, time = 1.800042e-07, dt=4.460409e-09
cycle = 47, time = 1.843818e-07, dt=4.377592e-09
cycle = 48, time = 1.886915e-07, dt=4.309692e-09
cycle = 49, time = 1.929476e-07, dt=4.256097e-09
cycle = 50, time = 1.971657e-07, dt=4.218095e-09
